State and UT,Population,Rural population,Urban population,Area(km2),Male population,Female population,Sex ratio
Andaman and Nicobar Islands,380581,237093,143488,8249,202330,177614,876
Andhra Pradesh,84580777,34966693,14610410,162968,42442146,42138631,993
Arunachal Pradesh,1383727,1066358,317369,83743,1383727,713912,938
Assam,31205576,26807034,4398542,78438,15939443,15266133,958
Bihar,104099452,92341436,11758016,94163,54278157,49821295,918
Chandigarh,1055450,28991,1026459,114,580663,474787,818
Chhattisgarh,25545198,19607961,5937237,135191,12832895,12712303,991
Dadra and Nagar Haveli,343709,183114,160595,491,193760,149949,774
Daman and Diu,243247,60396,182851,111,150301,92946,618
Delhi,16787941,419042,16368899,1484,8987326,7800615,868
Goa,1458545,551731,906814,3702,739140,719405,973
Gujarat,60439692,34694609,25745083,196024,31491260,28948432,919
Haryana,25351462,16509359,8842103,44212,13494734,11856728,879
Himachal Pradesh,6864602,6176050,688552,55673,3481873,3382729,972
Jammu and Kashmir,12267032,9064220,3202812,42241,6640662,5900640,890
Jharkhand,32988134,25055073,7933061,79714,16930315,16057819,948
Karnataka,61095297,37469335,23625962,191791,30966657,30128640,973
Kerala,33406061,17471135,15934926,38863,16027412,17378649,1084
Lakshadweep,64473,14141,50332,32,33123,31350,946
Madhya Pradesh,72626809,52557404,20069405,308245,37612306,35014503,931
Maharashtra,112374333,61556074,50818259,307713,58243056,54131277,929
Manipur,2570390,1793875,776515,22327,1438586,1417208,992
Meghalaya,2966889,2371439,595450,22429,1471339,1492668,989
Mizoram,1097206,525435,571771,21081,552339,538675,976
Nagaland,1978502,1407536,570966,16579,1024649,953853,931
Odisha,41974219,34970562,7003656,155707,21212136,20762082,979
Puducherry,1247953,395200,852753,479,612511,635442,1037
Punjab,27743338,17344192,10399146,50362,14639465,13103873,895
Rajasthan,68548437,51500352,17048085,342239,35550997,32997440,928
Sikkim,610577,456999,153578,7096,323070,287507,890
Tamil Nadu,72147030,37229590,34917440,130051,36137975,36009055,996
Telangana,35003674,21395009,13608665,112077,17611633,17392041,988
Tripura,3673917,2712464,961453,10486,1874376,1799541,960
Uttar Pradesh,199812341,155317278,44495063,240928,104480510,95331831,912
Uttarakhand,10086292,7036954,3049338,53483,5137773,4948519,963
West Bengal,91276115,62183113,29093002,88752,46809027,44467088,953
